BioSample	Environmental_Category
SAMD00655066	Animal-Associated
SAMD00655065	Animal-Associated
SAMD00655064	Animal-Associated
SAMD00655063	Animal-Associated
SAMD00433726	Marine Environment
SAMD00433725	Marine Environment
SAMD00433724	Marine Environment
SAMD00433723	Marine Environment
SAMD00433722	Marine Environment
SAMD00433721	Marine Environment
SAMD00433720	Marine Environment
SAMD00433719	Marine Environment
SAMD00433718	Marine Environment
SAMD00433717	Marine Environment
SAMD00433716	Marine Environment
SAMD00433715	Marine Environment
SAMD00433714	Marine Environment
SAMD00433713	Marine Environment
SAMD00433712	Marine Environment
SAMD00433711	Marine Environment
SAMD00433710	Marine Environment
SAMD00433709	Marine Environment
SAMD00433708	Marine Environment
SAMD00433707	Marine Environment
SAMD00433706	Marine Environment
SAMD00433705	Marine Environment
SAMD00433704	Marine Environment
SAMD00433703	Marine Environment
SAMD00433702	Marine Environment
SAMD00433701	Marine Environment
SAMD00433700	Marine Environment
SAMD00433699	Marine Environment
SAMD00433698	Marine Environment
SAMD00433697	Marine Environment
SAMD00433696	Marine Environment
SAMD00433695	Marine Environment
SAMD00433694	Marine Environment
SAMD00433693	Marine Environment
SAMD00433692	Marine Environment
SAMD00433691	Marine Environment
SAMD00433690	Marine Environment
SAMD00433689	Marine Environment
SAMD00433688	Marine Environment
SAMD00433687	Marine Environment
SAMD00433686	Marine Environment
SAMD00433685	Marine Environment
SAMD00433684	Marine Environment
SAMD00433683	Marine Environment
SAMD00433657	Marine Environment
SAMD00433656	Marine Environment
SAMD00433655	Marine Environment
SAMD00433654	Marine Environment
SAMD00433653	Marine Environment
SAMD00433652	Marine Environment
SAMD00433651	Marine Environment
SAMD00433650	Marine Environment
SAMD00433649	Marine Environment
SAMD00433648	Marine Environment
SAMD00433647	Marine Environment
SAMD00433646	Marine Environment
